0,1,2,3,4,5,6,7
B,University of Bath,United Kingdom,28.9,84.8,27.9,56.7,36.3
B,Bayreuth University,Germany,32.2,52.6,31.2,60.1,56.4
B,Bielefeld University,Germany,35.2,45.4,46.2,49.9,60.9
B,University of Bordeaux,France,25.3,54.6,22,71.7,30.6
B,Charles Darwin University,Australia,17.8,63.7,22.6,85.9,43.2
B,Colorado School of Mines,United States of America,28.5,35.5,30.3,71.8,83.7
B,Colorado State University,United States of America,31.6,34.5,33,59.3,41
B,University of Delaware,United States of America,23.7,41.6,34,70,98.7
B,Flinders University,Australia,21.4,64.7,25.7,69.5,41.7
B,University of Georgia,United States of America,41.1,39.2,30.5,52.2,30.9
B,Griffith University,Australia,22.5,81.7,25.2,66.3,34.6
B,University of Iceland,Iceland,16.2,61,16.2,91.4,28
B,Indian Institute of Science,India,42.7,16.4,47.2,42.4,52.4
B,Iowa State University,United States of America,31.2,35.4,29.4,61.5,54
B,James Cook University,Australia,19,70.4,22.8,81.4,40.7
B,Justus Liebig University Giessen,Germany,32.9,46.8,33.9,52.9,46.4
B,King Abdulaziz University,Saudi Arabia,23.9,93,11.8,76.6,73.1
B,KoÃ§ University,Turkey,21.2,53.5,27.1,74.9,82.4
B,Korea University,South Korea,43.9,40.2,43.4,41.8,99.8
B,University of LiÃ¨ge,Belgium,29.1,69.7,36.6,46.5,98.9
B,LinkÃ¶ping University,Sweden,24.2,57.7,18.9,76.8,42.1
B,Nanjing University,China,37.2,50.4,32.2,54.2,58.6
B,National Tsing Hua University,Taiwan,37.7,23.2,36.6,53,49.5
B,"National University of Ireland, Galway",Republic of Ireland,27.3,76.5,25.4,68.5,41.9
B,University of Newcastle,Australia,27.4,75.9,26.5,67.2,64.4
B,North Carolina State University,United States of America,36.1,49,30.5,60,40.7
B,Oregon State University,United States of America,30.6,42.8,28.5,63.8,32.1
B,Osaka University,Japan,46.8,26.6,45.2,37.4,76.1
B,Queenâs University,Canada,35.8,61.6,35.8,54.4,54.2
B,Queensland University of Technology,Australia,28.8,76,35.6,56,73.7
B,Rensselaer Polytechnic Institute,United States of America,30.4,40.3,31.5,65.1,79.6
B,Royal College of Surgeons in Ireland,Republic of Ireland,29.9,90.1,20.1,65.3,33.9
B,Ruhr University Bochum,Germany,32.8,51.7,30,54.4,66.6
B,Saint Louis University,United States of America,36.9,26.6,10.9,85,29.9
B,University of SÃ£o Paulo,Brazil,59.1,25.3,57.1,20.4,30.5
B,Simon Fraser University,Canada,23.2,61.4,29.2,72.8,42.3
B,University of Surrey,United Kingdom,31.7,90.4,28.9,51.2,34.9
B,Syracuse University,United States of America,31.4,38.3,20.8,77.1,36.3
B,University of Tasmania,Australia,21.8,79.1,25.7,68,42.7
B,"University of Tennessee, Knoxville",United States of America,29.5,39.3,23.2,81.4,41.3
B,Tomsk Polytechnic University,Russian Federation,31.6,32.7,15.1,82.4,60.2
B,Tulane University,United States of America,39.1,35.3,19.3,67.8,32.4
B,UmeÃ¥ University,Sweden,20.8,56.1,25,74.5,31.1
B,Vienna University of Technology,Austria,34.1,77.3,32,54.6,86.5
B,Virginia Polytechnic Institute and State University,United States of America,34.9,29.5,38.2,54.2,43.3
B,University of Wollongong,Australia,25.8,86.8,28.4,59.3,57.9
B,Zhejiang University,China,44.3,19.6,46,36.1,96.2
B,Aberystwyth University,United Kingdom,21.6,72.2,18.9,67.2,31.3
B,University of Alaska Fairbanks,United States of America,25.1,53.5,23.1,63,51.2
B,Autonomous University of Madrid,Spain,35.6,48.6,30.9,46.9,33
B,Bangor University,United Kingdom,22.6,81.3,22.1,65.4,31
B,University of Bremen,Germany,30.9,50,32.7,50,46
B,University of Cincinnati,United States of America,31.3,28.3,20.4,72.1,35.3
B,University of Connecticut,United States of America,35.9,43.1,25.6,57,30.9
B,Deakin University,Australia,22.4,76.9,21.9,66.8,30
B,University of Essex,United Kingdom,33.9,93.7,33.3,38.6,28.9
B,George Mason University,United States of America,29.6,36.9,21.2,64.9,29.1
B,University of Greifswald,Germany,30.1,41.7,23.5,61.3,32.6
B,Gwangju Institute of Science and Technology,South Korea,35.2,36.2,42,43.7,45.2
B,University of Hohenheim,Germany,30.9,50.3,33.8,51.5,52.8
B,University of Innsbruck,Austria,23.6,95.7,16.9,67.3,39.9
B,Kazan Federal University,Russian Federation,21.9,25.5,12.3,87.5,42.4
B,University of Kent,United Kingdom,24.6,87.2,19.1,60.9,28.8
B,Leibniz University of Hanover,Germany,36.5,43.2,36.9,39,69.6
B,Macquarie University,Australia,28.5,90,27.2,52.3,33.1
B,Medical College of Wisconsin,United States of America,25.4,30.4,12.1,85.2,31.8
B,University of Milan,Italy,30.5,37.7,24.2,64.8,40.9
B,University of Milan-Bicocca,Italy,24.3,34.3,25.5,65.8,46.6
B,Montpellier University,France,38.7,54.4,16.7,59.5,31.9
B,Nagoya University,Japan,40.8,27.4,38.9,40.1,91.4
B,University of Naples Federico II,Italy,24.7,21.1,14.8,81.3,47.4
B,National Chiao Tung University,Taiwan,32.9,32,45.4,34.2,96.9
B,National Research Nuclear University MePhI,Russian Federation,43.9,27.5,24.1,52.8,28.1
B,National Taiwan University of Science and Technology (Taiwan Tech),Taiwan,31.7,30.5,43.1,39.1,92.2
B,University of Navarra,Spain,31.9,52.6,20.8,57.5,63.5
B,University of Nebraska-Lincoln,United States of America,30.1,45.8,30.2,53.5,35.6
B,Ãrebro University,Sweden,18.3,39.4,10.4,87.8,29.8
B,University of Oregon,United States of America,21.2,33.5,22.7,72.6,30.8
B,University of Padua,Italy,25.7,37.9,22.6,74.6,32.6
B,University of Pavia,Italy,25,40.5,22.5,65.1,69.4
B,Plymouth University,United Kingdom,19.3,64,18,75.2,28.5
B,Shanghai Jiao Tong University,China,37.8,27.5,45.2,34,92.9
B,University of Southern Denmark,Denmark,19.2,71.8,14.7,79.7,28
B,Stellenbosch University,South Africa,28.2,49.8,35,46.9,100
B,University of Strasbourg,France,25.5,71.6,23.4,64.4,32.8
B,Technical University of Dortmund,Germany,34.2,40.8,29.8,55.3,48.6
B,Technion Israel Institute of Technology,Israel,30.8,61.9,33.3,52.1,28.8
B,Toulouse 1 Capitole University,France,18.6,66.7,35.7,56.3,32.5
B,University of Trieste,Italy,26.5,47.3,18.5,74.1,32.3
B,University of Turin,Italy,27.4,38.8,22.3,67.5,54.2
B,University of Turku,Finland,27.1,66.2,21.2,65.8,31.2
B,Vrije Universiteit Brussel,Belgium,28.7,64.5,24.5,56.8,77.1
B,VÅ B - Technical University of Ostrava,Czech Republic,18.8,22.3,15.7,85.5,32.1
B,Yonsei University,South Korea,37.2,41.5,34.1,39.4,75.9
B,York University,Canada,30.2,58.2,30.8,49.1,33.2
B,Bilkent University,Turkey,22.6,47.5,17.5,64.1,30.2
B,"Binghamton University, State University of New York",United States of America,22.7,53.6,17.4,62,34
B,University of Crete,Greece,18.6,47,19.2,73.6,34.5
B,University of Cyprus,Cyprus,18,74.7,28.5,56.7,30
B,Drexel University,United States of America,31.2,46.3,14.6,57.7,36.3
B,University of Eastern Finland,Finland,24.8,46.1,20.7,65.1,33.3
B,University of Florence,Italy,21.7,38.5,20.4,72.1,35.9
B,University of St Gallen,Switzerland,25.8,97.6,11.2,53.5,41.8
B,Graz University of Technology,Austria,26,69.3,15.8,52.9,77.2
B,University of Guelph,Canada,28,53.6,34.2,44.4,47.4
B,Hanyang University,South Korea,33.9,54.3,32.6,31.1,87.9
B,Hong Kong Baptist University,Hong Kong,22.6,75,12.1,67.9,28.8
B,University of Houston,United States of America,34.9,33.9,26.5,52,42.3
B,Indian Institute of Technology Bombay,India,37.8,17.7,28.6,48.5,42.3
B,Instituto Superior TÃ©cnico Lisboa,Portugal,22.2,43.7,25,59.8,38.8
B,University of JyvÃ¤skylÃ¤,Finland,28.2,47.1,25.5,55.5,34.2
B,La Trobe University,Australia,27,78,28.5,45.4,43.7
B,Loughborough University,United Kingdom,31.2,72.9,32.2,41.3,36.6
B,University of Manitoba,Canada,27.1,57.8,26.9,49.7,41.8
B,University of Missouri,United States of America,31.2,31,21,60.2,31.1
B,University of Modena and Reggio Emilia,Italy,18.7,34.2,15.6,72.9,32.3
B,University of Montana,United States of America,30.8,21.5,13.6,65.5,31
B,"National University of Ireland, Maynooth",Republic of Ireland,24.6,75.6,22.8,50.2,36.6
B,University of Nebraska Medical Center,United States of America,37,37.7,13.3,64.4,33.6
B,University of New Mexico,United States of America,25.6,28.6,15.4,74.5,37
B,Norwegian University of Science and Technology,Norway,16.3,59.9,25.8,59.8,51.8
B,University of Oulu,Finland,23.1,56.9,15.9,62.3,30.9
B,PanthÃ©on-Sorbonne University â Paris 1,France,53.2,47.6,47.6,6.8,28.3
B,Polytechnic University of Turin,Italy,23.7,50.6,18.6,65.9,42.5
B,University of Rome III,Italy,23.1,35.9,21,64.8,37.5
B,SabancÄ± University,Turkey,22.3,42.7,32.3,52.8,70
B,San Diego State University,United States of America,20.3,25.9,27,62.7,29.3
B,University of South Australia,Australia,26.4,89,26.7,41.2,85.9
B,University of South Carolina,United States of America,31.1,24.5,21.5,58.7,30.3
B,University of South Dakota,United States of America,29.3,17.1,12.1,70.4,28
B,State University of Campinas,Brazil,44.6,21.1,42.3,22.6,49.4
B,University of Stirling,United Kingdom,22.6,77.7,23.5,59.1,30.4
B,Sun Yat-sen University,China,31.9,37,24.6,45.7,79.4
B,Swansea University,United Kingdom,22.2,72.4,23.8,58.2,32.7
B,Swinburne University of Technology,Australia,21.5,84.8,20.2,53.4,32.2
B,University of Tartu,Estonia,23.8,46.1,22.8,64.2,31.5
B,Temple University,United States of America,34,28.6,18.2,58.3,41.6
B,University of Texas at San Antonio,United States of America,18.1,29.6,16.6,74.9,28.6
B,UiT The Arctic University of Norway,Norway,26.5,66.1,18.7,58.8,36.8
B,UniversitÃ© Libre de Bruxelles,Belgium,26.1,84.5,28.3,47.9,39.1
